source_id,title,url,organization,license_note,access_utc,notes
un_m49_overview,UN M49 Standard country or area codes for statistical use (multilingual overview),https://unstats.un.org/unsd/methodology/m49/overview/,United Nations Statistics Division (UNSD),UN website terms,2026-03-05T05:37:16.587328+00:00,"Primary source for M49, ISO2/ISO3 mappings, UN geoscheme, LDC/LLDC/SIDS flags, and UN-language names."
un_sdg_geoarea_list,UN SDG API GeoArea List,https://unstats.un.org/SDGAPI/v1/sdg/GeoArea/List,United Nations SDG Global Database,UN SDG API terms,2026-03-05T05:37:16.587328+00:00,GeoArea code-name mapping used in SDG API.
un_sdg_geoarea_tree,UN SDG API GeoArea Tree,https://unstats.un.org/SDGAPI/v1/sdg/GeoArea/Tree,United Nations SDG Global Database,UN SDG API terms,2026-03-05T05:37:16.587328+00:00,Hierarchy for SDG regional groupings.
world_bank_country_api,World Bank API v2 - Country metadata,https://api.worldbank.org/v2/country?format=json&per_page=1000,World Bank Open Data,World Bank data terms,2026-03-05T05:37:16.587328+00:00,"Income level, lending type, region, capital city and coordinates."
world_bank_fcs,World Bank Classification of Fragile and Conflict-affected Situations,https://thedocs.worldbank.org/en/doc/5c7e4e268baaafa6ef38d924be9279be-0090082025/original/FCSListFY26.pdf,World Bank,World Bank website terms,2026-03-05T05:37:16.587328+00:00,Parsed latest FY list from official page (selected: FY26).
oecd_dac_oda_recipients,OECD DAC List of ODA Recipients (CSV),https://webfs.oecd.org/oda/DAClists/DAC-List-of-ODA-Recipients-for-reporting-2024-flows.csv,OECD,OECD terms,2026-03-05T05:37:16.587328+00:00,Latest CSV auto-selected from official OECD webfs directory.
